id,sex,dr,use,ht,race,edu,age,age_bin
MPRB0,M,2,TRN,"5'8""",WHT,AS,32,thirties
MPRD0,M,3,TRN,"5'9""",WHT,AS,35,thirties
MPRK0,M,4,TRN,"5'11""",WHT,MS,27,twenties
MPRT0,M,4,TRN,"5'9""",WHT,PHD,32,thirties
MPSW0,M,1,TRN,"5'10""",WHT,BS,24,twenties
MPWM0,M,4,TST,"6'2""",WHT,BS,29,twenties
MRAB0,M,2,TRN,"5'9""",WHT,BS,31,thirties
MRAB1,M,4,TRN,"5'08""",WHT,PHD,33,thirties
MRAI0,M,1,TRN,"5'8""",WHT,BS,25,twenties
MRAM0,M,5,TRN,"6'1""",WHT,BS,25,twenties
FRAM1,F,2,TST,"5'6""",WHT,MS,25,twenties
MRAV0,M,5,TRN,"6'4""",WHT,MS,25,twenties
MRBC0,M,3,TRN,"6'1""",WHT,HS,25,twenties
MRCG0,M,1,TRN,"6'1""",WHT,MS,40,fourties
MRCS0,M,7,TST,"6'0""",WHT,MS,39,thirties
MRCW0,M,2,TRN,"6'3""",WHT,BS,27,twenties
MRCZ0,M,2,TST,"5'09""",WHT,MS,27,twenties
MRDD0,M,1,TRN,"5'11""",WHT,BS,42,fourties
MRDM0,M,8,TRN,"6'2""",WHT,PHD,36,thirties
MRDS0,M,3,TRN,"6'0""",WHT,MS,32,thirties
MREB0,M,1,TST,"6'0""",WHT,BS,27,twenties
MREE0,M,3,TRN,"6'6""",WHT,BS,24,twenties
FREH0,F,7,TRN,"5'7""",WHT,BS,23,twenties
MREH1,M,3,TRN,"5'9""",WHT,BS,24,twenties
MREM0,M,7,TRN,"6'2""",WHT,BS,51,fifties
MRES0,M,8,TST,"6'4""",WHT,BS,23,twenties
FREW0,F,4,TST,"5'4""",WHT,MS,33,thirties
MREW1,M,5,TRN,"6'00""",WHT,BS,27,twenties
MRFK0,M,2,TRN,"6'2""",WHT,BS,34,thirties
MRFL0,M,4,TRN,"5'4""",WHT,BS,33,thirties
MRGG0,M,2,TST,"6'0""",WHT,BS,24,twenties
MRGM0,M,4,TRN,"6'0""",BLK,HS,31,thirties
MRGS0,M,2,TRN,"5'8""",WHT,HS,22,twenties
MRHL0,M,2,TRN,"5'09""",WHT,MS,32,thirties
FRJB0,F,6,TRN,"5'4""",WHT,PHD,26,twenties
MRJB1,M,3,TRN,"6'4""",WHT,BS,23,twenties
MRJH0,M,2,TRN,"5'09""",WHT,PHD,42,fourties
MRJM0,M,2,TRN,"6'0""",WHT,BS,29,twenties
MRJM1,M,2,TRN,"6'0""",WHT,MS,38,thirties
MRJM3,M,5,TST,"6'01""",WHT,HS,51,fifties
MRJM4,M,7,TST,"5'08""",WHT,MS,35,thirties
MRJO0,M,1,TST,"5'10""",WHT,BS,34,thirties
MRJR0,M,6,TST,"5'9""",???,MS,27,twenties
MRJS0,M,6,TST,"5'07""",WHT,BS,25,twenties
MRJT0,M,2,TRN,"6'00""",WHT,BS,44,fourties
MRKM0,M,5,TRN,"5'11""",BLK,BS,29,twenties
MRKO0,M,4,TST,"6'3""",WHT,HS,45,fourties
MRLD0,M,5,TRN,"5'9""",WHT,MS,30,thirties
MRLJ0,M,2,TRN,"5'8""",WHT,BS,34,thirties
MRLJ1,M,7,TRN,"6'0""",WHT,BS,25,twenties
MRLK0,M,8,TRN,"6'00""",WHT,BS,34,thirties
FRLL0,F,2,TRN,"5'06""",WHT,BS,23,twenties
MRLR0,M,2,TRN,"5'10""",WHT,MS,26,twenties
MRMB0,M,6,TRN,"6'00""",???,BS,32,thirties
MRMG0,M,7,TRN,"5'11""",WHT,PHD,42,fourties
MRMH0,M,7,TRN,"6'2""",WHT,BS,26,twenties
MRML0,M,5,TRN,"6'3""",WHT,BS,32,thirties
MRMS0,M,2,TRN,"5'07""",WHT,BS,26,twenties
MRMS1,M,7,TST,"6'00""",WHT,BS,25,twenties
FRNG0,F,4,TST,"5'6""",WHT,HS,24,twenties
MROA0,M,4,TST,"6'3""",WHT,HS,23,twenties
MRPC0,M,7,TST,"5'9""",WHT,BS,25,twenties
MRPC1,M,7,TRN,"6'03""",WHT,BS,23,twenties
MRPP0,M,5,TST,"5'11""",WHT,MS,27,twenties
MRRE0,M,8,TRN,"5'10""",WHT,HS,35,thirties
MRRK0,M,5,TST,"5'9""",WHT,MS,44,fourties
MRSO0,M,1,TRN,"6'0""",WHT,MS,25,twenties
MRSP0,M,4,TRN,"5'10""",WHT,HS,32,thirties
MRTC0,M,3,TRN,"6'00""",WHT,BS,28,twenties
MRTJ0,M,3,TRN,"5'11""",WHT,HS,48,fourties
MRTK0,M,3,TST,"6'0""",WHT,MS,27,twenties
MRVG0,M,5,TRN,"6'0""",WHT,BS,31,thirties
MRWA0,M,3,TRN,"5'9""",WHT,BS,25,twenties
MRWS0,M,1,TRN,"6'2""",WHT,BS,26,twenties
MRWS1,M,5,TST,"5'10""",WHT,BS,27,twenties
MRXB0,M,6,TRN,"5'10""",???,MS,26,twenties
FSAG0,F,5,TRN,"5'5""",WHT,HS,44,fourties
FSAH0,F,1,TRN,"5'9""",WHT,BS,22,twenties
MSAH1,M,7,TRN,"5'10""",WHT,BS,39,thirties
FSAK0,F,4,TRN,"5'2""",WHT,MS,24,twenties
MSAS0,M,5,TRN,"6'4""",WHT,BS,26,twenties
MSAT0,M,2,TRN,"5'11""",WHT,BS,25,twenties
MSAT1,M,6,TRN,"5'5""",WHT,MS,29,twenties
FSBK0,F,6,TRN,"5'2""",WHT,BS,23,twenties
FSCN0,F,2,TRN,"5'2""",WHT,BS,26,twenties
MSDB0,M,7,TRN,"5'11""",WHT,MS,28,twenties
FSDC0,F,5,TRN,"5'5""",WHT,BS,24,twenties
MSDH0,M,5,TRN,"6'0""",WHT,BS,24,twenties
FSDJ0,F,6,TRN,"5'7""",WHT,BS,23,twenties
MSDS0,M,6,TRN,"5'8""",WHT,MS,27,twenties
FSEM0,F,4,TST,"5'0""",WHT,HS,21,twenties
MSEM1,M,5,TRN,"6'0""",WHT,PHD,39,thirties
MSES0,M,7,TRN,"5'8""",WHT,BS,22,twenties
MSFH0,M,4,TRN,"5'10""",SPN,HS,26,twenties
MSFH1,M,5,TST,"5'9""",WHT,MS,26,twenties
MSFV0,M,3,TRN,"6'3""",WHT,BS,34,thirties
FSGF0,F,6,TRN,"5'05""",WHT,MS,43,fourties
FSJG0,F,5,TRN,"5'03""",BLK,BS,28,twenties
MSJK0,M,6,TRN,"5'7""",WHT,BS,54,fifties
FSJK1,F,1,TRN,"5'6""",WHT,BS,25,twenties
FSJS0,F,3,TRN,"5'0""",WHT,BS,28,twenties
MSJS1,M,1,TST,"5'9""",???,BS,25,twenties
FSJW0,F,3,TRN,"5'5""",WHT,HS,46,fourties
FSKC0,F,3,TRN,"6'0""",WHT,AS,24,twenties
FSKL0,F,2,TRN,"5'06""",WHT,BS,24,twenties
FSKP0,F,5,TRN,"5'8""",WHT,BS,24,twenties
MSLB0,M,8,TST,"5'6""",WHT,MS,30,thirties
FSLB1,F,2,TST,"5'8""",WHT,MS,32,thirties
FSLS0,F,3,TRN,"5'9""",WHT,BS,23,twenties
MSMC0,M,4,TRN,"5'8""",WHT,MS,30,thirties
FSMM0,F,5,TRN,"5'6""",WHT,MS,30,thirties
MSMR0,M,6,TRN,"6'2""",WHT,BS,34,thirties
FSMS1,F,5,TRN,"5'00""",WHT,BS,24,twenties
FSPM0,F,7,TRN,"5'4""",WHT,PHD,30,thirties
MSRG0,M,4,TRN,"5'8""",WHT,BS,25,twenties
FSRH0,F,2,TRN,"5'4""",WHT,HS,23,twenties
MSRR0,M,5,TRN,"5'9""",WHT,BS,24,twenties
FSSB0,F,4,TRN,"5'5""",WHT,BS,32,thirties
MSTF0,M,4,TRN,"5'10""",WHT,BS,26,twenties
MSTK0,M,1,TST,"5'11""",WHT,BS,25,twenties
MSVS0,M,6,TRN,"6'02""",HSP,BS,26,twenties
FSXA0,F,7,TST,"5'8""",WHT,BS,26,twenties
MTAA0,M,3,TST,"5'6""",WHT,BS,24,twenties
MTAB0,M,7,TRN,"6'02""",WHT,BS,25,twenties
FTAJ0,F,6,TRN,"5'5""",WHT,BS,25,twenties
MTAS0,M,4,TRN,"5'11""",WHT,BS,26,twenties
MTAS1,M,2,TST,"5'11""",WHT,HS,28,twenties
MTAT0,M,5,TRN,"6'3""",WHT,BS,35,thirties
MTAT1,M,2,TRN,"6'0""",WHT,BS,23,twenties
MTBC0,M,2,TRN,"6'6""",WHT,BS,26,twenties
FTBR0,F,1,TRN,"5'04""",WHT,HS,24,twenties
FTBW0,F,5,TRN,"5'9""",WHT,HS,22,twenties
MTCS0,M,8,TRN,"5'8""",???,HS,29,twenties
MTDP0,M,5,TRN,"6'00""",BLK,BS,23,twenties
MTDT0,M,3,TST,"5'9""",WHT,BS,30,thirties
MTEB0,M,4,TST,"5'6""",WHT,BS,25,twenties
MTER0,M,7,TRN,"5'9""",WHT,MS,39,thirties
MTHC0,M,3,TST,"5'10""",WHT,MS,26,twenties
MTJG0,M,2,TRN,"6'03""",WHT,BS,24,twenties
MTJM0,M,3,TRN,"5'7""",WHT,MS,29,twenties
MTJS0,M,1,TRN,"5'10""",WHT,BS,23,twenties
MTJU0,M,6,TRN,"5'11""",???,MS,26,twenties
MTKD0,M,7,TRN,"5'7""",WHT,BS,31,thirties
MTKP0,M,3,TRN,"6'0""",WHT,BS,24,twenties
MTLB0,M,3,TRN,"5'11""",WHT,MS,26,twenties
MTLC0,M,7,TRN,"5'07""",WHT,MS,38,thirties
FTLG0,F,5,TRN,"5'6""",WHT,BS,25,twenties
FTLH0,F,7,TST,"5'11""",WHT,BS,31,thirties
MTLS0,M,4,TST,"5'11""",???,BS,24,twenties
FTMG0,F,2,TRN,"5'04""",WHT,BS,25,twenties
MTML0,M,7,TRN,"6'0""",WHT,BS,24,twenties
MTMN0,M,7,TRN,"6'1""",WHT,BS,24,twenties
MTMR0,M,2,TST,"5'10""",WHT,AS,29,twenties
MTMT0,M,5,TRN,"5'10""",WHT,MS,28,twenties
MTPF0,M,1,TRN,"5'9""",WHT,MS,26,twenties
MTPG0,M,3,TRN,"5'10""",WHT,BS,28,twenties
MTPP0,M,3,TRN,"6'01""",WHT,BS,43,fourties
MTPR0,M,7,TRN,"5'10""",WHT,BS,33,thirties
MTQC0,M,4,TRN,"5'11""",WHT,AS,30,thirties
MTRC0,M,4,TRN,"6'1""",WHT,AS,23,twenties
MTRR0,M,1,TRN,"5'11""",WHT,AS,25,twenties
MTRT0,M,4,TRN,"6'4""",WHT,MS,27,twenties
MTWH0,M,7,TST,"5'8""",WHT,BS,25,twenties
MTWH1,M,7,TRN,"6'01""",WHT,BS,25,twenties
MTXS0,M,6,TRN,"6'0""",WHT,AS,30,thirties
FUTB0,F,5,TST,"5'10""",BLK,HS,25,twenties
FVFB0,F,1,TRN,"5'2""",WHT,BS,24,twenties
MVJH0,M,3,TRN,"5'07""",WHT,PHD,45,fourties
FVKB0,F,7,TRN,"5'8""",WHT,BS,24,twenties
MVLO0,M,5,TRN,"5'8""",WHT,MS,39,thirties
FVMH0,F,1,TRN,"5'05""",WHT,BS,26,twenties
MVRW0,M,7,TRN,"5'09""",WHT,MS,26,twenties
MWAC0,M,5,TRN,"5'6""",WHT,MS,56,fifties
MWAD0,M,1,TRN,"5'9""",WHT,BS,25,twenties
MWAR0,M,1,TRN,"5'9""",WHT,BS,27,twenties
MWBT0,M,1,TST,"6'00""",WHT,BS,51,fifties
MWCH0,M,5,TRN,"5'10""",WHT,AS,25,twenties
MWDK0,M,3,TRN,"6'2""",WHT,BS,29,twenties
MWEM0,M,5,TRN,"5'2""",BLK,BS,29,twenties
MWEW0,M,2,TST,"6'0""",WHT,BS,27,twenties
MWGR0,M,3,TRN,"6'3""",WHT,MS,24,twenties
MWJG0,M,3,TST,"6'0""",WHT,MS,33,thirties
MWRE0,M,7,TRN,"5'9""",WHT,BS,34,thirties
MWRP0,M,7,TRN,"5'08""",WHT,MS,35,thirties
MWSB0,M,2,TRN,"5'8""",WHT,BS,26,twenties
MWSH0,M,5,TRN,"6'0""",WHT,BS,22,twenties
MWVW0,M,2,TST,"5'04""",WHT,BS,24,twenties
MZMB0,M,2,TRN,"5'10""",???,BS,25,twenties
